#iteration best_sample
0 0.8   0 0.4 0.4   0 0.6
1 0.8   0 0.4 0.4   0 0.6
2 0.8   0 0.4 0.4   0 0.6
3 0.8   0 0.4 0.4   0 0.6
4 0.8   0 0.4 0.4   0 0.6
