#iteration best_sample
0 0.6 0.2 0.4 0.4 0.2 0.6
1 0.6 0.2 0.4 0.4 0.2 0.6
2 0.6 0.2 0.4 0.4 0.2 0.6
3 0.2 0.6 0.2 0.8   0 0.8
4 0.2 0.6 0.2 0.8   0 0.8
5 0.2 0.6 0.2 0.8   0 0.8
6 0.2 0.6 0.2 0.8   0 0.8
7 0.2 0.6 0.2 0.8   0 0.8
8 0.2 0.6 0.2 0.8   0 0.8
9 0.2 0.6 0.2 0.8   0 0.8
