1731    0 0.4 0.6 0.8 0.2 0.2  0.868266 0.925 0.575 0.075 0.25 0.55 1 0.225 0.25 0.25 0.7 0.275 0.35 0.65 0.325 0.475 0.425 0.975 0.975 0.625 0.75 0.275 0.175 0.5 
2215    0 0.6 0.4 0.6 0.6 0  1.50651 1 0.775 0.95 0.425 0.8 1 0.95 0.125 0.2 0.75 0.275 0.425 0.65 0.325 0.625 0.3 0.5 0.975 0.625 0.75 0.275 0.2 0.05 
2217    0 0.6 0.4 0.6 0.6 0.4  2.37685 0.9 0.775 0.35 0.75 0.9 0.95 0.225 0.125 0.875 0.425 0.275 0.075 0.65 0.325 0.4 0.3 0.5 0.5 0.625 0.775 0.025 0.225 0.825 
2236    0 0.6 0.4 0.8 0.4 0.2  1.99189 0.95 0.75 0.9 0.075 0.45 0.95 0.55 0.15 0.225 0.325 0.45 0.55 0.65 0.325 0.4 0.3 0.5 0.325 0.125 0.775 0.025 0.7 0.5 
2237    0 0.6 0.4 0.8 0.4 0.4  2.12304 0.675 0.775 0.825 0.925 0.825 0.95 0.225 0.675 0.1 0.725 0.975 0.275 0.65 0.325 0.4 0.3 0.5 0.825 0.625 0.725 0.375 0.7 0.975 
2240    0 0.6 0.4 0.8 0.6 0  1.32323 0.95 0.975 0.6 0.775 0.55 1 0.125 0.4 0.25 0.775 0.275 0.725 0.65 0.325 0.45 0.325 0.975 0.975 0.625 1 0.125 0.175 0.525 
2241    0 0.6 0.4 0.8 0.6 0.2  2.11906 0.675 0.775 0.825 0.925 0.825 0.95 0.225 0.675 0.1 0.725 0.8 0.275 0.65 0.325 0.4 0.3 0.5 0.825 0.625 0.725 0.375 0.7 0.975 
2242    0 0.6 0.4 0.8 0.6 0.4  1.99706 0.675 0.775 0.825 0.75 0.825 0.95 0.225 0.675 0.1 0.725 0.8 0.275 0.65 0.325 0.4 0.3 0.5 0.825 0.625 0.725 0.375 0.7 0.975 
2246    0 0.6 0.4 0.8 0.8 0.2  1.81665 0.675 0.775 0.825 0.225 0.825 0.95 0.225 0.125 0.225 0.725 0.275 0.275 0.65 0.325 0.4 0.625 0.5 0.825 0.625 0.725 0.025 0.7 0.975 
2335    0 0.6 0.6 0.6 0.4 0  1.35012 0.95 0.975 0.6 0.775 0.55 1 0.525 0.4 0.25 0.05 0.275 0.625 0.65 0.325 0.45 0.025 0.975 0.975 0.625 1 0.275 0.175 0.5 
2336    0 0.6 0.6 0.6 0.4 0.2  2.07742 1 0.875 0.95 0.75 0.6 1 0.175 0.125 0.525 0.05 0.275 0.85 0.65 0.325 0.225 0.275 0.5 0.975 0.625 0.725 0.65 0.2 0.975 
2337    0 0.6 0.6 0.6 0.4 0.4  1.50756 1 0.875 0.55 0.75 0.6 1 0.225 0.125 0.525 0.05 0.275 0.85 0.65 0.325 0.225 0 0.5 0.975 0.625 0.75 0.275 0.2 0 
2340    0 0.6 0.6 0.6 0.6 0  1.58207 1 0.775 0.95 0.15 0.8 1 0.95 0.125 0.2 0.75 0.275 0.425 0.65 0.325 0.625 0.3 0.5 0.975 0.625 0.75 0.275 0.2 0.05 
2341    0 0.6 0.6 0.6 0.6 0.2  1.94401 1 0.875 0.95 0.75 0.6 1 0.075 0.125 0.525 0.05 0.275 0.85 0.65 0.325 0.225 0.275 0.5 0.975 0.625 0.725 0.65 0.2 0.975 
2345    0 0.6 0.6 0.6 0.8 0  1.39831 1 0.775 0.9 0.75 0.8 0.95 0.075 0.125 0.2 0.7 0.275 0.6 0.65 0.325 0.525 0.25 0.5 0.975 0.625 0.4 0.025 0.2 0.975 
